tag,description,omitclose
html,HTML 文書のルート（最上位要素）を表すため、ルート要素とも呼ばれます。他のすべての要素は、この要素の子孫として配置しなければなりません。,"false"
base,文書内におけるすべての相対 URL の基点となる URL を指定します。文書内に 1 つだけ置くことができます。,"true"
head,文書に関する機械可読な情報（メタデータ）、たとえばタイトル、スクリプト、スタイルシートなどを含みます。,"false"
link,現在の文書と外部リソースとの関係を指定します。この要素は CSS をリンクするために最もよく使用されますが、他にもサイトアイコン（「ファビコン」スタイルのアイコンやモバイル端末でのホーム画面やアプリのアイコンの両方）を設定するために使用されます。,"true"
meta,"メタデータを表します。これは、他のメタ関連要素 (<base>, <link>, <script>, <style>, <title>) で表すことができないものを表します。","true"
style,文書あるいは文書の一部分のスタイル情報を含みます。 <style> 要素を含んでいる文書のコンテンツに適用される CSS を含みます。,"false"
title,ブラウザーのタイトルバーやページのタブに表示される文書のタイトルを定義します。テキストのみを含めることができます。要素内のタグはすべて無視されます。,"false"
body,HTML 文書のコンテンツを示す要素です。文書中に 1 つだけ配置できます。,"false"
address,これを含んでいる HTML が個人、団体、組織の連絡先を提供していることを示します。,"false"
article,文書、ページ、アプリケーション、サイトなどの中で自己完結しており、（集合したものの中で）個別に配信や再利用を行うことを意図した構成物を表します。例えば、フォーラムの投稿、雑誌や新聞の記事、ブログの記事、商品カード、ユーザーが投稿したコメント、対話型のウィジェットやガジェット、その他の独立したコンテンツの項目が含まれます。,"false"
aside,文書のメインコンテンツと間接的な関係しか持っていない文書の部分を表現します。サイドバーやコールアウトボックスなどを表現するためによく使われます。,"false"
footer,直近の区分コンテンツまたは区分化ルート要素のフッターを表します。フッターには通常、そのセクションの著作者に関する情報、関連文書へのリンク、著作権情報等を含めます。,"false"
header,HTML の <header> 要素は、導入的なコンテンツ、ふつうは導入部やナビゲーション等のグループを表します。見出し要素だけでなく、ロゴ、検索フォーム、作者名、その他の要素を含むこともできます。,"false"
h1,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h2,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h3,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h4,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h5,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h6,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
main,文書の本体の主要な内容を表します。主要な内容とは、文書の中心的な主題、またはアプリケーションの中心的な機能に直接関連または拡張した内容の範囲のことです。,"false"
nav,現在の文書内の他の部分や他の文書へのナビゲーションリンクを提供するためのセクションを表します。ナビゲーションセクションの一般的な例としてメニュー、目次、索引などがあります。,"false"
section,文書の自立した一般的なセクション (区間) を表します。そのセクションを表現するより意味的に具体的な要素がない場合に使用します。少数の例外を除いて、セクションには見出しを置いてください。,"false"
blockquote,内包するテキストが引用文であることを示します。通常、字下げを伴ってレンダリングされます。cite 属性により引用元の文書の URL を、 <cite> 要素により引用元の文書のタイトルなどを明示可能です。,"false"
dd,説明リスト要素 (<dl>) 内で、その前の用語 (<dt>) の説明、定義、値などを示します。,"false"
div,フローコンテンツの汎用コンテナーです。 CSS を用いて何らかのスタイル付け（例えば、スタイルが直接適用されたり、親要素にフレックスボックスなどの何らかのレイアウトモデルが適用されるなど）がされない限り、コンテンツやレイアウトには影響を与えません。,"false"
dl,説明リストを表します。この要素は、一連の用語（<dt> 要素を使用して指定）と説明（<dd> 要素によって提供）をリスト化したものです。一般的な使用例として、用語集の作成やメタデータ（キーと値のペアのリスト）の表示が挙げられます。,"false"
dt,説明または定義リストの中で用語を表す部分であり、 <dl> の子要素としてのみ用いることができます。普通は <dd> 要素が続きます。しかし、複数の <dt> 要素が続くと、複数の用語がすぐ後に続く <dd> 要素で定義されていることを表します。,"false"
figcaption,親の <figure> 要素内にあるその他のコンテンツを説明するキャプションや凡例を表します。,"false"
figure,自己完結型のコンテンツを表し、任意で <figcaption> 要素を使用して表されるキャプションを付けることができます。図、すなわちキャプションとその中身は一つの単位として参照されます。,"false"
hr,段落レベルの要素間において、テーマの意味的な区切りを表します。例えば、話の場面の切り替えや、節内での話題の転換などです。,"true"
li,リストの項目を表すために用いられます。この要素は、その項目が属する順序付きリスト (<ol>)、順序なしリスト (<ul>)、メニュー (<menu>) のいずれかの子要素として配置する必要があります。メニュー要素および順序なしリスト内においては、リストの項目は通常、行頭文字伴って表示され、順序付きリスト内では、数字や文字による連番のリストマーカーを伴って表示されます。,"false"
menu,(<ul>) に代わる意味づけですが、ブラウザーでは (<ul>) と異なるものとして扱われます（アクセシビリティツリーで公開されます）。（<li> 要素で表現される）項目の順不同リストを表します。,"false"
ol,項目の順序付きリストを表します。ふつうは番号付きのリストとして表示されます。,"false"
p,テキストの段落を表します。視覚メディアにおいて、段落はふつう隣接するブロックと上下の空白や最初の行の字下げによって隔てられたテキストのブロックとして表現されますが、 HTML の段落は画像やフォーム欄などの関連するコンテンツを構造的にまとめることができます。,"false"
pre,整形済みテキスト (preformatted text) を表します。この要素内のテキストは一般的に、ファイル内でのレイアウトをそのまま反映して等幅フォントで表示されます。この要素内のホワイトスペース文字はそのまま表示します。,"false"
ul,項目の順序なしリストを表します。一般的に、行頭記号を伴うリストとして描画されます。,"false"
a,href 属性を用いて、ウェブページ、ファイル、メールアドレス、同一ページ内の場所、または他の URL へのハイパーリンクを作成します。,"false"
abbr,略語や頭字語を表します。,"false"
b,要素の内容に読み手の注意を惹きたい場合で、他の特別な重要性が与えられないものに使用します。これは以前は太字要素と呼ばれており、ほとんどのブラウザーでは文字列を太字で描画していました。しかし、 <b> を文字列の装飾に使うべきではありません。太字の文字列を作成するには、 CSS の font-weight プロパティを使用し、特別な重要性を持つテキストを示すには <strong> 要素を使用してください。,"false"
bdi,ブラウザーの書字方向アルゴリズムにこのテキストが周囲のテキストから独立していると扱うよう指示します。これは特に、ウェブサイトがテキストを動的に挿入し、挿入されるテキストの書字方向が不明な場合に便利です。,"false"
bdo,現在のテキストの書字方向を上書きし、中のテキストが異なる書字方向で描画されるようにします。,"false"
br,文中に改行（キャリッジリターン）を生成します。詩や住所など、行の分割が重要な場合に有用です。,"true"
cite,引用された創作物の参照を表し、作品のタイトルを含む必要があります。参照は、引用メタデータに関する利用場面に合わせた慣習に応じて省略形が用いられることがあります。,"false"
code,コンピューターコードの短い断片の文字列であると識別できるような外見のコンテンツを表示します。既定では、中の文字列がユーザーエージェントの既定の等幅フォントを使用して表示されます。,"false"
data,与えられたコンテンツの断片を機械可読な翻訳にリンクします。コンテンツが時刻または日付に関連するものであれば、time 要素を使用する必要があります。,"false"
dfn,定義句や文の文脈の中で定義している用語を示すために用いられます。 <dfn> の直近の祖先である <p> 要素、 <dt>/<dd> の組み合わせ、 <section> 要素が用語の定義とみなされます。,"false"
em,強調されたテキストを示します。<em> 要素は入れ子にすることができ、入れ子の段階に応じてより強い程度の強調を表すことができます。,"false"
i,何らかの理由で他のテキストと区別されるテキストの範囲を表します。例えば、慣用句、技術用語、分類学上の呼称、などです。英文においてはよくイタリック体で表現されてきたものであり、それがこの要素の <i> という名前の元になっています。,"false"
kbd,キーボード、音声入力、その他の入力端末からのユーザーによる文字入力を表すインラインの文字列の区間を表します。慣習的に、ユーザーエージェントは既定で <kbd> 要素の中身を等幅フォントで表示しますが、 HTML 標準で規定されているものではありません。,"false"
mark,周囲の文脈の中でマークを付けた部分の関連性や重要性のために、参照や記述の目的で目立たせたり強調したりする文字列を表します。,"false"
q,その内容がインラインの引用であることを表します。最近の多くのブラウザーでは、文字列を引用符で囲むように実装しています。この要素は、段落区切りをまたがない短い引用のためのものです。長文の引用には、 <blockquote> 要素を使用してください。,"false"
rp,<ruby> 要素によるルビの表示に対応していないブラウザー向けの代替表示用括弧を提供するために使用します。 <rp> 要素は、注釈の文字列を <rt> 要素を囲む開き括弧と閉じ括弧をそれぞれ囲む必要があります。,"false"
rt,ルビによる注釈（振り仮名）のルビ文字列の部分を定義し、東アジアの組版において発音、翻訳、音写などの情報を提供するために使用します。 <rt> 要素は常に <ruby> 要素の中で使用されます。,"false"
ruby,ベーステキストの上、下、隣に描画される小さな注釈で、よく東アジアの文字の発音を表すのに使われます。他の種類の注釈にも使われることがありますが、この使い方はあまり一般的ではありません。,"false"
s,取り消し線を引いた文字列を表示します。 <s> 要素はすでに適切または正確ではなくなった事柄を表現します。しかし、文書の修正を示す場合、 <s> 要素は適切ではありません。この場合は del と ins の方が適しているので、こちらを使用してください。,"false"
samp,コンピュータープログラムからのサンプル出力を表すインライン文字列を含めるために使用されます。内容は普通、ブラウザーの既定の等幅フォント（Courier や Lucida Console など）を使用して表示されます。,"false"
small,表示上のスタイルとは関係なく、著作権表示や法的表記のような、注釈や小さく表示される文を表します。既定では、 small から x-small のように、一段階小さいフォントでテキストが表示されます。,"false"
span,記述コンテンツの汎用的なインラインコンテナーであり、何かを表すものではありません。スタイル付けのため (class または id 属性を使用して)、または lang のような属性値を共有したりするために要素をグループ化する用途で使用することができます。他に適切な意味的要素がない時にのみ使用してください。 <span> は <div> 要素ととても似ていますが、 <div> がブロックレベル要素であるのに対し、 <span> はインライン要素 (en-US)です。,"false"
strong,内容の重要性、重大性、または緊急性が高いテキストを表します。ブラウザーは一般的に太字で描画します。,"false"
sub,表記上の理由で下付き文字として表示するべきインライン文字列を指定します。下付き文字は普通、小さめのテキストを使用してベースラインよりも低く表示されます。,"false"
sup,表記上の理由で上付き文字として表示するべきインライン文字列を指定します。上付き文字は普通、小さめのテキストを使用して高いベースラインで表示されます。,"false"
time,特定の時の区間を表します。 datetime 属性を使用して、機械可読な形式の日付を記述することができ、検索エンジンの結果を改善したりリマインダーなどの独自機能に使用したりすることができます。,"false"
u,非言語的に注釈があることを示す方法で表示するインラインテキストの区間を示します。これは既定で単純な実線の下線として表示されますが、 CSS を使用して変更することもできます。,"false"
var,数式やプログラムコード内の変数の名前を表します。挙動はブラウザーに依存しますが、通常は現在のフォントのイタリック体を使って表示されます。,"false"
wbr,改行可能位置 — テキスト内でブラウザーが任意で改行してよい位置を表しますが、この改行規則は必要のない場合は改行を行いません。,"true"
area,イメージマップの中でクリック可能な領域をあらかじめ定義します。イメージマップでは、画像上の幾何学的な領域をハイパーテキストリンクと関連付けすることができます。,"false"
audio,文書内に音声コンテンツを埋め込むために使用します。この要素は、1 つまたは複数の音源を含むことができます。音源は src 属性または source 要素を使用して表し、ブラウザーがもっとも適切な音源を選択します。また、 MediaStream を使用してストリーミングメディアを指し示すこともできます。,"true"
img,文書に画像を埋め込みます。,"true"
map,<area> 要素とともに、イメージマップ（クリック可能なリンク領域）を定義するために使用します。,"false"
track,メディア要素 (audio および video) の子として使用します。この要素は自動的に処理される字幕など、時間指定されたテキストトラック（または時系列データ）を指定することができます。トラックは WebVTT 形式 (.vtt ファイル) を用います。,"false"
video,文書中に動画再生に対応するメディアプレイヤーを埋め込みます。 <video> を音声コンテンツのために使用することもできますが、audio 要素の方がユーザーにとって使い勝手が良いかもしれません。,"false"
embed,外部のコンテンツを文書中の指定された場所に埋め込みます。コンテンツは外部アプリケーションや、対話型コンテンツの他の出所 (ブラウザーのプラグインなど) によって提供されます。,"false"
iframe,入れ子になった閲覧コンテキストを表現し、現在の HTML ページに他のページを埋め込むことができます。,"false"
object,画像、内部の閲覧コンテキスト、プラグインによって扱われるリソースなどのように扱われる外部リソースを表します。,"false"
picture,0 個以上の <source> 要素と一つの <img> 要素を含み、様々な画面や端末の条件に応じた画像を提供します。,"false"
portal,他の HTML ページを現在のページに埋め込み、新しいページへの移動がスムーズにできるようにします。,"false"
source,picture 要素、audio 要素、video 要素に対し、複数のメディアリソースを指定します。この要素は空要素であり、つまり中身も閉じタグもありません。画像ファイル形式やメディアファイル形式の対応状況が様々であるブラウザーの幅広い互換性を確保するために、同じメディアコンテンツを複数のファイル形式で提供することはよくあることです。,"true"
svg,新しい座標系とビューポートを定義するコンテナーです。これは SVG 文書の最も外側の要素として使用されますが、SVG または HTML 文書の中に SVG フラグメントを埋め込むためにも使用できます。,"false"
math,MathML における最上位の要素です。すべての有効な MathML のインスタンスを囲みます。加えて、 <math> 要素を入れ子状に配置してはなりませんが、中にその他の子要素をいくつでも持つことができます。,"false"
canvas,Canvas スクリプティング API や WebGL API を使用して、グラフィックやアニメーションを描画することができるコンテナー要素です。,"false"
noscript,このページ上のスクリプトの種類に対応していない場合や、スクリプトの実行がブラウザーで無効にされている場合に表示する HTML の部分を定義します。,"false"
script,実行できるコードやデータを埋め込むために使用します。ふつうは JavaScript のコードの埋め込みや参照に使用されます。 <script> 要素は WebGL の GLSL shader プログラミング言語、 JSON 等の他の言語にも使用することができます。,"false"
del,文書から削除された文字列の範囲を表します。これは例えば、「変更の追跡」や、ソースコードの差分情報を描画するときに使用することができます。 <ins> 要素は逆の目的に、文書に追加された文字列を示すために用いることができます。,"false"
ins,文書に追加されたテキストの範囲を表します。同様に、 <del> 要素を使用して文書から削除されたテキストの範囲を表すことができます。,"false"
caption,表のキャプション（またはタイトル）を指定します。,"false"
col,表内の列を定義して、すべての一般セルに共通の意味を定義するために使用します。この要素は通常、 <colgroup> 要素内にみられます。,"false"
colgroup,表内の列のグループを定義します。,"false"
table,表形式のデータ、つまり、行と列の組み合わせによるセルに含まれたデータによる二次元の表で表現される情報です。,"false"
tbody,表の一連の行 (<tr> 要素) を内包し、その部分が表 (<table>) の本体部分を構成することを表します。,"false"
td,表でデータを包含するセルを定義します。これはモデルに関与します。,"false"
tfoot,表の一連の列を総括する行のセットを定義します。,"false"
th,表のセルのグループ用の見出しであるセルを定義します。このグループの正確な性質は、scope 属性と headers 属性で定義します。,"false"
thead,表の列の見出しを定義する行のセットを定義します。,"false"
tr,表内でセルの行を定義します。行のセルには <td> （データセル）および <th> （見出しセル）要素をを混在させることができます。,"false"
button,ユーザーがマウス、キーボード、指、音声コマンド、または他にも支援技術を使って起動するインタラクティブ要素です。アクティブになると、フォームを送信したり、ダイアログを開いたりするなどのアクションを実行するようになります。,"false"
datalist,他のコントロールで利用可能な値を表現する一連の <option> 要素を含みます。,"false"
fieldset,ウェブフォーム内のラベル (<label>) などのようにいくつかのコントロールをグループ化するために使用します。,"false"
form,ウェブサーバーに情報を送信するための対話型コントロールを含む文書の区間を表します。,"false"
input,ユーザーからデータを受け取るための、ウェブベースのフォーム用の操作可能なコントロールを作成するために使用します。端末とユーザーエージェントによりますが、広範に渡る種類のデータ入力やコントロールウィジェットが利用できます。 <input> 要素は入力型と属性の組み合わせの数が非常に多いため、 HTML の中で最も強力かつ最も複雑な要素の一つです。,"true"
label,ユーザーインターフェイスの項目のキャプションを表します。,"false"
legend,その親要素である <fieldset> の内容のキャプションを表します。,"false"
meter,既知の範囲内のスカラー値、または小数値を表します。,"false"
optgroup,<select> 要素内の選択肢 (<option>) のグループを作成します。,"false"
option,<select> 要素、<optgroup> 要素、<datalist> 要素内で項目を定義するために使われます。したがって、<option> は HTML 文書でポップアップメニューのメニュー項目や、その他の項目の一覧を表すことができます。,"true"
output,サイトやアプリが計算結果やユーザー操作の結果を挿入することができるコンテナー要素です。,"false"
progress,タスクの進捗状況を表示します。プログレスバーとしてよく表示されます。,"false"
select,選択式のメニューを提供するコントロールを表します。,"false"
textarea,複数行のプレーンテキスト編集コントロールを表し、レビューのコメントやお問い合わせフォーム等のように、ユーザーが大量の自由記述テキストを入力できるようにするときに便利です。,"false"
details,ウィジェットが「開いた」状態になった時のみ情報が表示される折りたたみウィジェットを作成します。概要やラベルは <summary> 要素を使用して提供する必要があります。,"false"
dialog,ダイアログボックスや、消すことができるアラート、インスペクター、サブウィンドウ等のような対話的コンポーネントを表します。,"false"
summary,details 要素の折り畳みボックスの要約、キャプション、説明、凡例を表します。 <summary> 要素をクリックすると、親の <details> 要素の開閉状態を切り替えることができます。,"false"
slot,ウェブコンポーネント 技術群の一部であるこの要素は、ウェブコンポーネント内のプレースホルダーで、自分自身でマークアップを埋めることができ、別個の DOM ツリーを作成して一緒に表示することができる。,"false"
template,ページが読み込まれたときにすぐにレンダリングされるのではなく、実行時に JavaScript を使って後からインスタンス化することができる HTML を保持するためのメカニズムです。,"false"
acronym,頭字語または略語の単語を構成する文字の並びを明示することができます。,"false"
applet,文書に Java アプレットを埋め込みます。この要素は <object> にとって代わり、廃止されました。,"false"
bgsound,そのページが使用されている間の背景として再生される音声ファイルを設定します。代わりに <audio> 要素を使用してください。,"false"
big,内包するテキストを周りの文字列よりも1段階大きいフォントの大きさで描画します（例えば medium が large になります）。大きさはブラウザーの最大フォントの大きさに制限されます。,"false"
blink,包含するテキストをゆっくり点滅させます。,"false"
center,中に含まれるブロックレベルまたはインラインコンテンツを中央揃えして表示します。,"false"
content,ウェブコンポーネント技術群の廃止された部分であり、シャドウ DOM の中で挿入ポイントとして使われていましたが、通常の HTML で利用することは意図されていませんでした。現在では DOM の中で Shadow DOM を挿入することができる場所を作成する <slot> 要素に置き換えられました。,"false"
dir,ユーザーエージェントが適用するスタイルやアイコンを用いて表示する、ファイルやフォルダーのディレクトリーのコンテナーとして使われます。この要素は廃止されたので使わないで下さい。代わりに、ファイル一覧を含め、一覧には <ul> 要素を使用してください。,"false"
font,その内容のフォントサイズ、文字色、使用フォントを定義します。,"false"
frame,別の HTML 文書を表示できる個々の領域を定義します。frame 要素は <frameset> の内部で使用します。,"false"
frameset,<frame> 要素を包含するために使用する HTML 要素です。,"false"
image,<img> 要素の古く、対応が不十分な前身です。,"true"
keygen,鍵の材料の生成を容易にするため、および HTML フォームの一部として公開鍵を送信するための要素です。この仕組みは、ウェブベースの資格情報管理システムと合わせて使用するものとして設計されています。証明書の要求に必要な他の情報を伴う HTML フォームで <keygen> 要素を使用して、その処理結果が署名済み資格情報になることを想定しています。,"false"
marquee,テキストがスクロールする領域を挿入します。要素の属性を使用して、テキストがコンテンツ領域の端に達したときにどうするかを制御できます。,"false"
menuitem,ユーザーがポップアップメニューから呼び出すことができるコマンドを表します。メニューボタンに割り当てるメニューはもちろん、コンテキストメニューも含みます。,"false"
nobr,その内包する文字列の自動改行を無効化します。インラインに収まらない文字列は、領域からはみ出てレンダリングされるか、スクロールバーを伴って表示されます。,"false"
noembed,廃止された、標準外の方法であり、 <embed> 要素に対応していないブラウザーや、ユーザーが仕様とした種類の埋め込みコンテンツに対応していないブラウザーで代替または「フォールバック」コンテンツを提供するものです。これは HTML 4.01 で非推奨となり、代替コンテンツは <object> 要素の開始タグと終了タグの間に配置されるようになりました。,"false"
noframes,<frame> 要素に対応していない（または対応を無効化した）ブラウザーのためのコンテンツを提供します。よく使われるほとんどのブラウザーがフレームに対応していますが、一部のモバイルブラウザーやテキストモードブラウザーなどの例外もあります。,"false"
param,<object> 要素の引数を定義します。,"false"
plaintext,開始タグ以降のすべてを生のテキストとして表示し、それ以降の HTML を無視します。開始タグ以降は全て生のテキスト扱いになるので、終了タグはありません。,"false"
rb,ルビ表記のベースとなるテキストの部分を区切るために使用されます。つまり、修飾される文字列です。一つの <rb> 要素がベーステキストの不可分な区間を隔てるように囲みます。,"false"
rtc,<ruby> 要素内で使用する <rb> 要素にルビで与える文字列の、意味を表す注釈を包含します。<rb> 要素は発音の注釈 (<rt>) と意味の注釈 (<rtc>) の両方を持つことができます。,"false"
shadow,ウェブコンポーネント技術スイートの廃止された部分で、シャドウ DOM の挿入ポイントとして使用するものでした。シャドウホスト配下に複数のシャドウルートを生成する場合に使用しました。,"false"
spacer,ウェブページに空の空間を挿入するための廃止された HTML 要素です。ウェブデザイナーによって用いられていた 1px の透過 GIF 画像（いわゆるスペーサー GIF）の挿入と同様の効果を実現するために Netscape 社が実装したものです。しかし <spacer> はほとんどの主要ブラウザーで対応されず、また、同様の効果は CSS を用いて実現可能です。,"false"
strike,テキストの上に取り消し線（水平線）を引きます。,"false"
tt,ユーザーエージェントの既定の等幅フォントで表示されるインライン文字列を生成します。この要素は、テレタイプ、テキスト専用画面、ラインプリンターのような等幅の表示装置で表示されるテキストとしてスタイルを設定しようとするものです。,"false"
xmp,開始タグと終了タグの間の HTML を解釈せず、等幅フォントを使用してテキストをレンダリングします。HTML2 の仕様では、1 行に 80 文字が入るだけの広さでレンダリングすることが推奨されていました。,"false"
